Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio
oct-19;Naranja;Lane Late;Segunda;$/kilo;333;800;504
nov-19;Naranja;Lane Late;Primera;$/kilo;500;900;751
nov-19;Naranja;Lane Late;Segunda;$/kilo;400;600;563
dic-19;Naranja;Valencia;Primera;$/kilo;500;1.200;885
dic-19;Naranja;Valencia;Segunda;$/kilo;500;900;726
ene-20;Naranja;Valencia;Primera;$/kilo;500;1.400;986
ene-20;Naranja;Valencia;Segunda;$/kilo;400;1.200;811
feb-20;Naranja;Valencia;Primera;$/kilo;700;1.500;1.051
feb-20;Naranja;Valencia;Segunda;$/kilo;600;1.000;796
mar-20;Naranja;Valencia;Primera;$/kilo;700;1.700;1.165
mar-20;Naranja;Valencia;Segunda;$/kilo;500;1.200;892
mar-19;Nectarín;Artic Snow;Primera;$/kilo;500;1.400;884
mar-19;Nectarín;Artic Snow;Segunda;$/kilo;400;900;643
abr-19;Nectarín;Artic Snow;Primera;$/kilo;800;1.500;1.167
abr-19;Nectarín;Artic Snow;Segunda;$/kilo;700;1.000;904
dic-19;Nectarín;Artic Star;Primera;$/kilo;750;1.700;1.210
dic-19;Nectarín;Artic Star;Segunda;$/kilo;100;1.200;900
ene-20;Nectarín;Early John;Primera;$/kilo;700;1.600;1.099
ene-20;Nectarín;Early John;Segunda;$/kilo;600;1.300;839
feb-20;Nectarín;Artic Sprite;Primera;$/kilo;600;1.500;994
feb-20;Nectarín;Artic Sprite;Segunda;$/kilo;500;900;698
mar-20;Nectarín;Artic Snow;Primera;$/kilo;700;1.800;1.128
mar-20;Nectarín;Artic Snow;Segunda;$/kilo;500;1.000;789
mar-19;Palta;Hass;Primera;$/kilo;2.400;3.800;3.026
mar-19;Palta;Hass;Segunda;$/kilo;2.000;3.200;2.522
abr-19;Palta;Hass;Primera;$/kilo;2.400;3.600;2.959
abr-19;Palta;Hass;Segunda;$/kilo;2.000;3.200;2.529
may-19;Palta;Hass;Primera;$/kilo;2.500;3.800;3.040
may-19;Palta;Hass;Segunda;$/kilo;2.200;3.000;2.573
jun-19;Palta;Hass;Primera;$/kilo;2.800;4.800;3.606
jun-19;Palta;Hass;Segunda;$/kilo;2.400;3.800;2.919
jul-19;Palta;Hass;Primera;$/kilo;3.200;5.000;4.144
jul-19;Palta;Hass;Segunda;$/kilo;2.000;4.200;3.196
ago-19;Palta;Hass;Primera;$/kilo;2.800;4.900;3.972
ago-19;Palta;Hass;Segunda;$/kilo;2.200;3.990;3.047
sept-19;Palta;Hass;Primera;$/kilo;2.800;4.300;3.614
sept-19;Palta;Hass;Segunda;$/kilo;2.000;3.800;2.937
oct-19;Palta;Hass;Primera;$/kilo;2.400;4.200;3.326
oct-19;Palta;Hass;Segunda;$/kilo;2.000;3.900;2.714
nov-19;Palta;Hass;Primera;$/kilo;2.000;4.000;3.119
nov-19;Palta;Hass;Segunda;$/kilo;1.800;3.500;2.481
dic-19;Palta;Hass;Primera;$/kilo;2.300;4.000;2.929
dic-19;Palta;Hass;Segunda;$/kilo;1.800;3.500;2.405
ene-20;Palta;Hass;Primera;$/kilo;2.500;4.200;3.383
ene-20;Palta;Hass;Segunda;$/kilo;2.000;3.600;2.886
feb-20;Palta;Hass;Primera;$/kilo;2.600;4.000;3.471
feb-20;Palta;Hass;Segunda;$/kilo;2.400;3.500;2.890
mar-20;Palta;Hass;Primera;$/kilo;3.000;4.500;3.910
mar-20;Palta;Hass;Segunda;$/kilo;2.300;3.800;3.193
mar-19;Pera;Packham's Triumph;Primera;$/kilo;490;1.000;689
mar-19;Pera;Packham's Triumph;Segunda;$/kilo;400;700;504
abr-19;Pera;Packham's Triumph;Primera;$/kilo;490;1.200;691
abr-19;Pera;Packham's Triumph;Segunda;$/kilo;400;900;509
may-19;Pera;Packham's Triumph;Primera;$/kilo;490;1.000;646
may-19;Pera;Packham's Triumph;Segunda;$/kilo;400;800;500
jun-19;Pera;Packham's Triumph;Primera;$/kilo;500;1.000;651
jun-19;Pera;Packham's Triumph;Segunda;$/kilo;400;700;486
jul-19;Pera;Packham's Triumph;Primera;$/kilo;500;1.200;658
jul-19;Pera;Packham's Triumph;Segunda;$/kilo;350;700;497
ago-19;Pera;Packham's Triumph;Primera;$/kilo;500;1.000;711
ago-19;Pera;Packham's Triumph;Segunda;$/kilo;400;700;535
sept-19;Pera;Packham's Triumph;Primera;$/kilo;500;1.200;785
sept-19;Pera;Packham's Triumph;Segunda;$/kilo;400;700;582
