Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio
ene-20;Cebolla;Sin especificar;1a nueva(o);$/kilo;400;450;433
ene-20;Cebolla;Sin especificar;1a nueva(o);$/unidad;80;400;162
ene-20;Cebolla;Sin especificar;2a nueva(o);$/kilo;400;450;408
ene-20;Cebolla;Sin especificar;2a nueva(o);$/unidad;50;250;102
feb-20;Cebolla;Sin especificar;1a nueva(o);$/kilo;450;600;550
feb-20;Cebolla;Sin especificar;1a nueva(o);$/unidad;100;400;174
feb-20;Cebolla;Sin especificar;2a nueva(o);$/kilo;400;500;470
feb-20;Cebolla;Sin especificar;2a nueva(o);$/unidad;70;250;120
mar-20;Cebolla;Sin especificar;1a (cosecha);$/kilo;390;450;420
mar-20;Cebolla;Sin especificar;1a (cosecha);$/unidad;90;400;184
mar-20;Cebolla;Sin especificar;1a nueva(o);$/unidad;100;200;129
mar-20;Cebolla;Sin especificar;2a (cosecha);$/kilo;100;390;245
mar-20;Cebolla;Sin especificar;2a (cosecha);$/unidad;60;300;122
mar-19;Choclo;Dulce o Americano;Primera;$/unidad;150;500;253
mar-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;400;210
abr-19;Choclo;Dulce o Americano;Primera;$/unidad;150;400;244
abr-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;200;169
may-19;Choclo;Dulce o Americano;Primera;$/unidad;100;450;239
may-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;200;166
jun-19;Choclo;Dulce o Americano;Primera;$/unidad;150;500;319
jun-19;Choclo;Dulce o Americano;Segunda;$/unidad;100;300;210
jul-19;Choclo;Dulce o Americano;Primera;$/unidad;230;800;425
jul-19;Choclo;Dulce o Americano;Segunda;$/unidad;150;600;336
ago-19;Choclo;Dulce o Americano;Primera;$/unidad;400;800;602
ago-19;Choclo;Dulce o Americano;Segunda;$/unidad;300;600;461
sept-19;Choclo;Dulce o Americano;Primera;$/unidad;200;900;599
sept-19;Choclo;Dulce o Americano;Segunda;$/unidad;300;650;437
oct-19;Choclo;Dulce o Americano;Primera;$/unidad;400;800;633
oct-19;Choclo;Dulce o Americano;Segunda;$/unidad;300;600;483
nov-19;Choclo;Dulce o Americano;Primera;$/unidad;200;800;533
nov-19;Choclo;Dulce o Americano;Segunda;$/unidad;200;500;406
dic-19;Choclo;Dulce o Americano;Primera;$/unidad;200;600;344
dic-19;Choclo;Dulce o Americano;Segunda;$/unidad;200;350;247
ene-20;Choclo;Dulce o Americano;Primera;$/unidad;180;500;312
ene-20;Choclo;Dulce o Americano;Segunda;$/unidad;120;350;220
feb-20;Choclo;Dulce o Americano;Primera;$/unidad;200;500;304
feb-20;Choclo;Dulce o Americano;Segunda;$/unidad;100;300;224
mar-20;Choclo;Dulce o Americano;Primera;$/unidad;200;450;306
mar-20;Choclo;Dulce o Americano;Segunda;$/unidad;200;250;218
mar-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.300;846
mar-19;Coliflor;Sin especificar;Segunda;$/unidad;400;1.000;621
abr-19;Coliflor;Sin especificar;Primera;$/unidad;700;1.500;1.115
abr-19;Coliflor;Sin especificar;Segunda;$/unidad;500;1.200;811
may-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.400;980
may-19;Coliflor;Sin especificar;Segunda;$/unidad;500;900;721
jun-19;Coliflor;Sin especificar;Primera;$/unidad;700;1.400;922
jun-19;Coliflor;Sin especificar;Segunda;$/unidad;400;900;677
jul-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.500;876
jul-19;Coliflor;Sin especificar;Segunda;$/unidad;400;900;664
ago-19;Coliflor;Sin especificar;Primera;$/unidad;600;1.700;1.050
ago-19;Coliflor;Sin especificar;Segunda;$/unidad;400;1.300;722
sept-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;787
sept-19;Coliflor;Sin especificar;Segunda;$/unidad;400;800;568
oct-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;797
oct-19;Coliflor;Sin especificar;Segunda;$/unidad;400;800;580
nov-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;720
nov-19;Coliflor;Sin especificar;Segunda;$/unidad;350;700;525
dic-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;768
