Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
oct-19;Choclo;Dulce o Americano;Segunda;$/unidad;300;600;483;;;;
nov-19;Choclo;Dulce o Americano;Primera;$/unidad;200;800;533;245;180.000;;
nov-19;Choclo;Dulce o Americano;Segunda;$/unidad;200;500;406;200;60.000;;
dic-19;Choclo;Dulce o Americano;Primera;$/unidad;200;600;344;158;257.000;;
dic-19;Choclo;Dulce o Americano;Segunda;$/unidad;200;350;247;115;85.000;;
ene-20;Choclo;Dulce o Americano;Primera;$/unidad;180;500;312;163;554.000;;
ene-20;Choclo;Dulce o Americano;Segunda;$/unidad;120;350;220;114;99.000;;
feb-20;Choclo;Dulce o Americano;Primera;$/unidad;200;500;304;190;650.000;;
feb-20;Choclo;Dulce o Americano;Segunda;$/unidad;100;300;224;149;165.000;;
mar-20;Choclo;Dulce o Americano;Primera;$/unidad;200;450;306;163;575.500;;
mar-20;Choclo;Dulce o Americano;Segunda;$/unidad;200;250;218;126;160.500;;
mar-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.300;846;519;274.400;;
mar-19;Coliflor;Sin especificar;Segunda;$/unidad;400;1.000;621;356;87.300;;
abr-19;Coliflor;Sin especificar;Primera;$/unidad;700;1.500;1.115;742;205.200;;
abr-19;Coliflor;Sin especificar;Segunda;$/unidad;500;1.200;811;525;70.200;;
may-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.400;980;660;112.900;;
may-19;Coliflor;Sin especificar;Segunda;$/unidad;500;900;721;455;45.200;;
jun-19;Coliflor;Sin especificar;Primera;$/unidad;700;1.400;922;582;126.200;;
jun-19;Coliflor;Sin especificar;Segunda;$/unidad;400;900;677;401;44.230;;
jul-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.500;876;668;22.300;;
jul-19;Coliflor;Sin especificar;Segunda;$/unidad;400;900;664;456;11.500;;
ago-19;Coliflor;Sin especificar;Primera;$/unidad;600;1.700;1.050;616;62.900;;
ago-19;Coliflor;Sin especificar;Segunda;$/unidad;400;1.300;722;473;29.000;;
sept-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;787;515;242.900;;
sept-19;Coliflor;Sin especificar;Segunda;$/unidad;400;800;568;337;142.600;;
oct-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;797;542;373.800;;
oct-19;Coliflor;Sin especificar;Segunda;$/unidad;400;800;580;352;222.570;;
nov-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;720;489;286.600;;
nov-19;Coliflor;Sin especificar;Segunda;$/unidad;350;700;525;342;171.900;;
dic-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;768;435;335.300;;
dic-19;Coliflor;Sin especificar;Segunda;$/unidad;300;800;564;361;171.700;;
ene-20;Coliflor;Sin especificar;Primera;$/unidad;600;1.700;939;641;94.620;;
ene-20;Coliflor;Sin especificar;Segunda;$/unidad;400;1.000;675;536;70.080;;
feb-20;Coliflor;Sin especificar;Primera;$/unidad;650;2.000;1.213;783;52.400;;
feb-20;Coliflor;Sin especificar;Segunda;$/unidad;500;1.300;886;612;34.500;;
mar-20;Coliflor;Sin especificar;Primera;$/unidad;800;2.500;1.410;1.032;86.660;;
mar-20;Coliflor;Sin especificar;Segunda;$/unidad;600;2.000;1.069;841;50.030;;
mar-19;Espinaca;Sin especificar;Primera;$/kilo;1.200;2.800;1.793;808;66.800;6680*cuna 10 kilos;8075/cuna 10 kilos
mar-19;Espinaca;Sin especificar;Segunda;$/kilo;1.000;1.800;1.332;600;4.800;480*cuna 10 kilos;6000/cuna 10 kilos
abr-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.435;451;75.400;7540*cuna 10 kilos;4514/cuna 10 kilos
abr-19;Espinaca;Sin especificar;Segunda;$/kilo;600;1.400;1.067;349;9.900;990*cuna 10 kilos;3485/cuna 10 kilos
may-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.356;412;109.800;10980*cuna 10 kilos;4121/cuna 10 kilos
may-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.200;1.019;250;1.100;110*cuna 10 kilos;2500/cuna 10 kilos
jun-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.295;438;42.000;4200*cuna 10 kilos;4382/cuna 10 kilos
jun-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.400;1.032;473;6.300;630*cuna 10 kilos;4730/cuna 10 kilos
jul-19;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.000;1.391;466;172.000;17200*cuna 10 kilos;4660/cuna 10 kilos
jul-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.400;1.046;;;;
ago-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.394;462;155.400;15540*cuna 10 kilos;4621/cuna 10 kilos
ago-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.400;1.005;350;2.400;240*cuna 10 kilos;3500/cuna 10 kilos
