Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
nov-19;Naranja;Lane Late;Segunda;$/kilo;400;600;563;400;4000;10*bins (400 kilos);160000/bins (400 kilos)
dic-19;Naranja;Valencia;Primera;$/kilo;500;1.200;885;521;154400;386*bins (400 kilos);208575/bins (400 kilos)
dic-19;Naranja;Valencia;Segunda;$/kilo;500;900;726;451;48000;120*bins (400 kilos);180250/bins (400 kilos)
ene-20;Naranja;Valencia;Primera;$/kilo;500;1.400;986;638;56800;142*bins (400 kilos);255070/bins (400 kilos)
ene-20;Naranja;Valencia;Segunda;$/kilo;400;1.200;811;550;33200;83*bins (400 kilos);220120/bins (400 kilos)
feb-20;Naranja;Valencia;Primera;$/kilo;700;1.500;1.051;669;40800;102*bins (400 kilos);267647/bins (400 kilos)
feb-20;Naranja;Valencia;Segunda;$/kilo;600;1.000;796;608;26400;66*bins (400 kilos);243333/bins (400 kilos)
mar-20;Naranja;Valencia;Primera;$/kilo;700;1.700;1.165;831;75200;188*bins (400 kilos);332340/bins (400 kilos)
mar-20;Naranja;Valencia;Segunda;$/kilo;500;1.200;892;625;11600;29*bins (400 kilos);250000/bins (400 kilos)
mar-19;Nectarín;Artic Snow;Primera;$/kilo;500;1.400;884;500;2400;150*caja 16 kilos;8000/caja 16 kilos
mar-19;Nectarín;Artic Snow;Segunda;$/kilo;400;900;643;375;1920;120*caja 16 kilos;6000/caja 16 kilos
abr-19;Nectarín;Artic Snow;Primera;$/kilo;800;1.500;1.167;;;;
abr-19;Nectarín;Artic Snow;Segunda;$/kilo;700;1.000;904;;;;
dic-19;Nectarín;Artic Star;Primera;$/kilo;750;1.700;1.210;500;1080;60*caja 18 kilos;9000/caja 18 kilos
dic-19;Nectarín;Artic Star;Segunda;$/kilo;100;1.200;900;;;;
ene-20;Nectarín;Early John;Primera;$/kilo;700;1.600;1.099;;;;
ene-20;Nectarín;Early John;Segunda;$/kilo;600;1.300;839;;;;
feb-20;Nectarín;Artic Sprite;Primera;$/kilo;600;1.500;994;;;;
feb-20;Nectarín;Artic Sprite;Segunda;$/kilo;500;900;698;;;;
mar-20;Nectarín;Artic Snow;Primera;$/kilo;700;1.800;1.128;;;;
mar-20;Nectarín;Artic Snow;Segunda;$/kilo;500;1.000;789;;;;
mar-19;Palta;Hass;Primera;$/kilo;2.400;3.800;3.026;2.151;16.575;975*caja 17 kilos;
mar-19;Palta;Hass;Segunda;$/kilo;2.000;3.200;2.522;1.903;10.710;630*caja 17 kilos;
abr-19;Palta;Hass;Primera;$/kilo;2.400;3.600;2.959;2.216;27.965;1645*caja 17 kilos;
abr-19;Palta;Hass;Segunda;$/kilo;2.000;3.200;2.529;1.988;25.500;1500*caja 17 kilos;
may-19;Palta;Hass;Primera;$/kilo;2.500;3.800;3.040;2.517;65.875;3875*caja 17 kilos;
may-19;Palta;Hass;Segunda;$/kilo;2.200;3.000;2.573;2.323;60.095;3535*caja 17 kilos;
jun-19;Palta;Hass;Primera;$/kilo;2.800;4.800;3.606;2.988;68.170;4010*caja 17 kilos;
jun-19;Palta;Hass;Segunda;$/kilo;2.400;3.800;2.919;2.787;65.960;3880*caja 17 kilos;
jul-19;Palta;Hass;Primera;$/kilo;3.200;5.000;4.144;3.757;35.445;2085*caja 17 kilos;
jul-19;Palta;Hass;Segunda;$/kilo;2.000;4.200;3.196;3.557;38.420;2260*caja 17 kilos;
ago-19;Palta;Hass;Primera;$/kilo;2.800;4.900;3.972;2.600;2.380;140*caja 17 kilos;
ago-19;Palta;Hass;Segunda;$/kilo;2.200;3.990;3.047;2.400;3.740;220*caja 17 kilos;
sept-19;Palta;Hass;Primera;$/kilo;2.800;4.300;3.614;;;;
sept-19;Palta;Hass;Segunda;$/kilo;2.000;3.800;2.937;;;;
oct-19;Palta;Hass;Primera;$/kilo;2.400;4.200;3.326;2.753;73.610;4330*caja 17 kilos;
oct-19;Palta;Hass;Segunda;$/kilo;2.000;3.900;2.714;2.551;73.950;4350*caja 17 kilos;
nov-19;Palta;Hass;Primera;$/kilo;2.000;4.000;3.119;2.592;60.350;3550*caja 17 kilos;
nov-19;Palta;Hass;Segunda;$/kilo;1.800;3.500;2.481;2.159;60.520;3560*caja 17 kilos;
dic-19;Palta;Hass;Primera;$/kilo;2.300;4.000;2.929;2.522;110.245;6485*caja 17 kilos;
dic-19;Palta;Hass;Segunda;$/kilo;1.800;3.500;2.405;1.986;111.265;6545*caja 17 kilos;
ene-20;Palta;Hass;Primera;$/kilo;2.500;4.200;3.383;2.697;62.560;3680*caja 17 kilos;
ene-20;Palta;Hass;Segunda;$/kilo;2.000;3.600;2.886;2.300;64.685;3805*caja 17 kilos;
feb-20;Palta;Hass;Primera;$/kilo;2.600;4.000;3.471;2.562;35.530;2090*caja 17 kilos;
feb-20;Palta;Hass;Segunda;$/kilo;2.400;3.500;2.890;2.203;31.535;1855*caja 17 kilos;
mar-20;Palta;Hass;Primera;$/kilo;3.000;4.500;3.910;2.977;44.370;2610*caja 17 kilos;
mar-20;Palta;Hass;Segunda;$/kilo;2.300;3.800;3.193;2.729;49.640;2920*caja 17 kilos;
mar-19;Pera;Packham's Triumph;Primera;$/kilo;490;1.000;689;;;;
mar-19;Pera;Packham's Triumph;Segunda;$/kilo;400;700;504;;;;
