"temperature","Date"
29.1,"05-12-2020"
31.7,"06-12-2020"
28.8,"07-12-2020"
31.3,"08-12-2020"
33.3,"09-12-2020"
24.4,"10-12-2020"
29.8,"11-12-2020"
30.6,"12-12-2020"
32.4,"13-12-2020"
30.4,"14-12-2020"
30.4,"15-12-2020"
31.8,"16-12-2020"
31.2,"17-12-2020"
23,"18-12-2020"
27.2,"19-12-2020"
30.7,"20-12-2020"
33.1,"21-12-2020"
31.7,"22-12-2020"
27.9,"23-12-2020"
32,"24-12-2020"
33.5,"25-12-2020"
29.4,"26-12-2020"
28.7,"27-12-2020"
31.4,"28-12-2020"
28.2,"29-12-2020"
32.6,"30-12-2020"
32.9,"31-12-2020"
32.5871025219279,"01-01-2021"
30.2655944765536,"02-01-2021"
31.4408053715974,"03-01-2021"
23.5475275041589,"04-01-2021"
27.7893673053312,"05-01-2021"
28.553438684463,"06-01-2021"
22.9969129428693,"07-01-2021"
31.0684720992205,"08-01-2021"
33.207962279667,"09-01-2021"
34.2068003900868,"10-01-2021"
31.8567356190546,"11-01-2021"
32.1944309702133,"12-01-2021"
32.0843518766554,"13-01-2021"
35.1928908512351,"14-01-2021"
34.0413639559852,"15-01-2021"
34.700469286717,"16-01-2021"
32.2878739951717,"17-01-2021"
27.0774953650608,"18-01-2021"
32.6372208812265,"19-01-2021"
32.5859380012347,"20-01-2021"
29.1708874570749,"21-01-2021"
32.1516568484599,"22-01-2021"
32.4508073422215,"23-01-2021"
32.4903610987213,"24-01-2021"
35.782997151649,"25-01-2021"
35.172861700309,"26-01-2021"
32.863574111444,"27-01-2021"
30.8374171191036,"28-01-2021"
34.0960113564967,"29-01-2021"
32.2154898226843,"30-01-2021"
31.7477212696741,"31-01-2021"
32.4802404473194,"01-02-2021"
32.0043923434777,"02-02-2021"
28.2792718368469,"03-02-2021"
27.1529555643196,"04-02-2021"
30.6225175047964,"05-02-2021"
33.5505002820062,"06-02-2021"
34.9128272151935,"07-02-2021"
31.5556526498075,"08-02-2021"
31.8785559150815,"09-02-2021"
31.2013787165013,"10-02-2021"
29.0704822365285,"11-02-2021"
31.3555886870863,"12-02-2021"
32.1354523032356,"13-02-2021"
32.2338423443614,"14-02-2021"
30.5399429490188,"15-02-2021"
27.8420398846416,"16-02-2021"
36.0292176022228,"17-02-2021"
34.0490510383989,"18-02-2021"
33.7672264968987,"19-02-2021"
27.9942908091943,"20-02-2021"
28.680958917742,"21-02-2021"
27.7016271973846,"22-02-2021"
25.6146301544226,"23-02-2021"
32.1861965775491,"24-02-2021"
33.0865680517047,"25-02-2021"
31.7441049842839,"26-02-2021"
33.9267971448554,"27-02-2021"
32.7656726894528,"28-02-2021"
28.9330664813658,"01-03-2021"
29.151975509536,"02-03-2021"
31.8167718191445,"03-03-2021"
30.9458704038709,"04-03-2021"
33.3287217869656,"05-03-2021"
29.7652615966415,"06-03-2021"
31.0732016727328,"07-03-2021"
32.592791670945,"08-03-2021"
33.209207500827,"09-03-2021"
31.5357728428789,"10-03-2021"
30.8325632509659,"11-03-2021"
30.4631196512701,"12-03-2021"
29.2378937982302,"13-03-2021"
30.4863327742089,"14-03-2021"
31.9970793390996,"15-03-2021"
25.8974043253437,"16-03-2021"
28.0172635215614,"17-03-2021"
30.2006693202979,"18-03-2021"
29.3889260700764,"19-03-2021"
27.2442109807651,"20-03-2021"
20.3883546363702,"21-03-2021"
25.7379724387219,"22-03-2021"
31.7529264163598,"23-03-2021"
28.7747903390089,"24-03-2021"
29.5251166922646,"25-03-2021"
27.2204973197775,"26-03-2021"
21.9009421812068,"27-03-2021"
23.1934963115072,"28-03-2021"
27.2954396781139,"29-03-2021"
32.3943067058595,"30-03-2021"
28.9898477720772,"31-03-2021"
30.5465670386842,"01-04-2021"
32.3836685645208,"02-04-2021"
27.2656795399589,"03-04-2021"
25.6462073662435,"04-04-2021"
25.7922134472057,"05-04-2021"
29.8303869932424,"06-04-2021"
31.5986079129972,"07-04-2021"
24.2674023819063,"08-04-2021"
23.5672104422213,"09-04-2021"
22.2915828698873,"10-04-2021"
19.865090144251,"11-04-2021"
18.7725070243422,"12-04-2021"
25.2373129934189,"13-04-2021"
28.2620342917275,"14-04-2021"
22.4381489369553,"15-04-2021"
27.3011705028359,"16-04-2021"
