Mes_escrito;Mes;Anio;Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
Marzo;3;2020;mar-20;Arveja Verde;Sin especificar;Segunda;$/kilo;800;1.000;858;;;;
Marzo;3;2019;mar-19;Brócoli;Sin especificar;Primera;$/unidad;500;2.600;808;528;191500;;
Marzo;3;2019;mar-19;Brócoli;Sin especificar;Segunda;$/unidad;400;1.000;571;370;64500;;
Abril;4;2019;abr-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.500;973;741;202900;;
Abril;4;2019;abr-19;Brócoli;Sin especificar;Segunda;$/unidad;500;1.000;704;507;72900;;
Mayo;5;2019;may-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.400;893;670;10700;;
Mayo;5;2019;may-19;Brócoli;Sin especificar;Segunda;$/unidad;500;800;683;500;2500;;
Junio;6;2019;jun-19;Brócoli;Sin especificar;Primera;$/unidad;600;1.400;842;508;163200;;
Junio;6;2019;jun-19;Brócoli;Sin especificar;Segunda;$/unidad;400;1.000;631;371;61200;;
Julio;7;2019;jul-19;Brócoli;Sin especificar;Primera;$/unidad;500;1.200;821;573;38800;;
Julio;7;2019;jul-19;Brócoli;Sin especificar;Segunda;$/unidad;300;800;611;437;15600;;
Agosto;8;2019;ago-19;Brócoli;Sin especificar;Primera;$/unidad;450;1.200;727;462;165400;;
Agosto;8;2019;ago-19;Brócoli;Sin especificar;Segunda;$/unidad;250;700;488;297;79800;;
Septiembre;9;2019;sept-19;Brócoli;Sin especificar;Primera;$/unidad;400;1.000;737;452;283400;;
Septiembre;9;2019;sept-19;Brócoli;Sin especificar;Segunda;$/unidad;300;700;533;275;165100;;
Octubre;10;2019;oct-19;Brócoli;Sin especificar;Primera;$/unidad;400;1.200;728;463;409.250;;
Octubre;10;2019;oct-19;Brócoli;Sin especificar;Segunda;$/unidad;250;800;524;277;259.960;;
Noviembre;11;2019;nov-19;Brócoli;Sin especificar;Primera;$/unidad;500;1.000;673;412;354.800;;
Noviembre;11;2019;nov-19;Brócoli;Sin especificar;Segunda;$/unidad;300;700;483;276;223.300;;
Diciembre;12;2019;dic-19;Brócoli;Sin especificar;Primera;$/unidad;500;1.200;694;403;290.300;;
Diciembre;12;2019;dic-19;Brócoli;Sin especificar;Segunda;$/unidad;350;800;515;301;181.550;;
Enero;1;2020;ene-20;Brócoli;Sin especificar;Primera;$/unidad;600;1.600;869;547;121.520;;
Enero;1;2020;ene-20;Brócoli;Sin especificar;Segunda;$/unidad;350;1.000;642;445;78.480;;
Febrero;2;2020;feb-20;Brócoli;Sin especificar;Primera;$/unidad;650;1.500;1.115;746;78.100;;
